experiment,scale,pca_cost,fourier_cost,passed,reason
sanity_check,0.0,4.824924084987079,4.78657434085009,,
sanity_check,0.05,4.827167657828233,4.792210103099564,,
sanity_check,0.1,4.829506370727525,4.7953197630122615,,
sanity_check,0.15000000000000002,4.83192293764525,4.7962693206226,,
sanity_check,0.2,4.833832519527616,4.79507804108278,,
sanity_check,0.25,4.836833887267227,4.7913848865252495,,
sanity_check,0.30000000000000004,4.839018197980821,4.78362392171975,,
sanity_check,0.35000000000000003,4.8404646287185225,4.785382054080223,,
sanity_check,0.4,4.842995535249445,4.790930997716867,,
sanity_check,0.45,4.844541047288536,4.796429593998648,,
sanity_check,0.5,4.845124605679257,4.802916647858733,,
sanity_check,0.55,4.844453089784227,4.806366291093504,,
sanity_check,0.6000000000000001,4.841780609511063,4.812558814119969,,
sanity_check,0.65,4.837960398545966,4.815605194772461,,
sanity_check,0.7000000000000001,4.8421266432900945,4.820667606273696,,
sanity_check,0.75,4.85137552129924,4.829606044846919,,
sanity_check,0.8,4.861979093284109,4.837798673461999,,
sanity_check,0.8500000000000001,4.870907307108108,4.850942815416119,,
sanity_check,0.9,4.883909605382019,4.8605482107941125,,
sanity_check,0.9500000000000001,4.898900250700927,4.8716825077554065,,
sanity_check,1.0,4.914384390052665,4.885798809499156,,
sanity_check_verdict,,,,False,cost does not consistently fall with compression
